user,Company,Mileage
1,Pirelli,54.7
2,Pirelli,52.86
3,Pirelli,49.76
4,Pirelli,53.98
5,Pirelli,45.02
6,Pirelli,50.81
7,Pirelli,49.04
8,Pirelli,45.4
9,Pirelli,50.86
10,Pirelli,54.98
1,Michelin,54.1
2,Michelin,52.75
3,Michelin,48.29
4,Michelin,43
5,Michelin,44.98
6,Michelin,47.6
7,Michelin,47.52
8,Michelin,55.18
9,Michelin,48.49
10,Michelin,53.25
1,Bridgestone,43.87
2,Bridgestone,42.84
3,Bridgestone,39.67
4,Bridgestone,43.68
5,Bridgestone,34.22
6,Bridgestone,43
7,Bridgestone,33.45
8,Bridgestone,46.46
9,Bridgestone,45.27
10,Bridgestone,48.01
1,Goodyear,45.08
2,Goodyear,47.46
3,Goodyear,40.47
4,Goodyear,43.44
5,Goodyear,41.99
6,Goodyear,44.59
7,Goodyear,40.88
8,Goodyear,46.13
9,Goodyear,42.72
10,Goodyear,40.7
